Sentence,Word,Named Entity
1,Book,O
1,I,O
1,I.,O
1,On,O
1,a,O
1,January,O
1,evening,O
1,of,O
1,the,O
1,early,O
1,seventies,O
1,",",O
1,Christine,B-PER
1,Nilsson,I-PER
1,was,O
1,singing,O
1,in,O
1,Faust,O
1,at,O
1,the,B-FAC
1,Academy,I-FAC
1,of,I-FAC
1,Music,I-FAC
1,in,I-FAC
1,New,I-FAC
1,York,I-FAC
1,.,O
2,Though,O
2,there,O
2,was,O
2,already,O
2,talk,O
2,of,O
2,the,O
2,erection,O
2,",",O
2,in,O
2,remote,O
2,metropolitan,O
2,distances,O
2,"""",O
2,above,O
2,the,O
2,Forties,O
2,",",O
2,"""",O
2,of,O
2,a,B-FAC
2,new,I-FAC
2,Opera,I-FAC
2,House,I-FAC
2,which,I-FAC
2,should,I-FAC
2,compete,I-FAC
2,in,I-FAC
2,costliness,I-FAC
2,and,I-FAC
2,splendour,I-FAC
2,with,I-FAC
2,those,I-FAC
2,of,I-FAC
2,the,I-FAC
2,great,I-FAC
2,European,I-FAC
2,capitals,I-FAC
2,",",O
2,the,O
2,world,O
2,of,O
2,fashion,O
2,was,O
2,still,O
2,content,O
2,to,O
2,reassemble,O
2,every,O
2,winter,O
2,in,O
2,the,O
2,shabby,O
2,red,O
2,and,O
2,gold,O
2,boxes,O
2,of,O
2,the,B-FAC
2,sociable,I-FAC
2,old,I-FAC
2,Academy,I-FAC
2,.,O
3,Conservatives,B-PER
3,cherished,O
3,it,O
3,for,O
3,being,O
3,small,O
3,and,O
3,inconvenient,O
3,",",O
3,and,O
3,thus,O
3,keeping,O
3,out,O
3,the,B-PER
3,"""",I-PER
3,new,I-PER
3,people,I-PER
3,"""",I-PER
3,whom,I-PER
3,New,I-PER
3,York,I-PER
3,was,I-PER
3,beginning,I-PER
3,to,I-PER
3,dread,I-PER
3,and,I-PER
3,yet,I-PER
3,be,I-PER
3,drawn,I-PER
3,to,I-PER
3,;,O
3,and,O
3,the,B-PER
3,sentimental,I-PER
3,clung,O
3,to,O
3,it,O
3,for,O
3,its,O
3,historic,O
3,associations,O
3,",",O
3,and,O
3,the,B-PER
3,musical,I-PER
3,for,O
3,its,O
3,excellent,O
3,acoustics,O
3,",",O
3,always,O
3,so,O
3,problematic,O
3,a,O
3,quality,O
3,in,O
3,halls,B-FAC
3,built,I-FAC
3,for,I-FAC
