Sentence,Word,Named Entity
1,https://t.co/CzfTXhfWQ9,O
1,Watch,O
1,live,O
1,online,O
1,now,O
1,|,O
1,Faur\xc3\xa9,O
1,Requiem,O
1,-,O
1,Dedicated,O
1,to,O
1,the,O
1,memory,O
1,of,O
1,Her,B-PER
1,Majesty,I-PER
1,#QueenElizabethII,I-PER
1,Surprisingly,O
1,moving,O
1,.,O
2,She,O
2,lived,O
2,a,O
2,life,O
2,of,O
2,dignity,O
2,and,O
2,honor,O
2,",",O
2,whatever,O
2,you,O
2,think,O
2,of,O
2,empire,O
2,and,O
2,colonialism,O
2,.,O
2,#history,O
2,#continuity,O
3,Today,O
3,",",O
3,Leon,B-PER
3,",",I-PER
3,Activities,I-PER
3,Coordinator,I-PER
3,&amp,O
3,;,O
3,Kelly,B-PER
3,",",I-PER
3,General,I-PER
3,Manager,I-PER
3,at,O
3,Northampton,B-LOC
3,House,I-LOC
3,",",O
3,paid,O
3,their,O
3,respects,O
3,to,O
3,HM,B-PER
3,Queen,I-PER
3,Elizabeth,I-PER
3,II,I-PER
3,&amp,O
3,;,O
3,left,O
3,flowers,O
3,&amp,O
3,;,O
3,a,O
3,signed,O
3,letter,O
3,from,O
3,the,B-PER
3,residents,I-PER
3,&amp,O
3,;,O
3,staff,B-PER
3,.,O
4,A,O
4,historical,O
4,moment,O
4,in,O
4,time,O
4,",",O
4,never,O
4,to,O
4,be,O
4,forgotten,O
4,",",O
4,forever,O
4,in,O
4,our,O
4,hearts,O
4,#history,O
4,#ncctuk,O
4,https://t.co/QM6uKBT7xg,O
5,I,O
5,had,O
5,an,O
5,incredible,O
5,time,O
5,visiting,O
5,the,O
5,open,O
5,house,O
5,at,O
5,the,O
5,TTC's,B-LOC
5,Harvey,I-LOC
5,Shop,I-LOC
5,&amp,O
5,;,O
5,Streetcar,B-LOC
5,Way,I-LOC
5,today,O
5,.,O
6,All,O
6,the,O
6,volunteers,B-PER
6,&amp,I-PER
6,;,I-PER
6,visitors,I-PER
6,who,I-PER
6,chatted,I-PER
6,with,I-PER
6,me,I-PER
6,made,O
6,it,O
6,an,O
6,extra,O
6,special,O
6,day,O
6,.,O
7,Thank,O
7,you,O
7,all,O
7,!,O
7,#ttc,O
7,#unitedway,B-ORG
7,#charity,O
7,#transit,O
7,#history,O
7,#ttcxunitedway,B-ORG
7,#hopkindesign,O
7,#ttcpics,O
7,https://t.co/mb4cJyLQLI,O
8,The,O
8,front,B-FAC
8,porch,I-FAC
8,of,I-FAC
8,a,I-FAC
8,rooming,I-FAC
8,house,I-FAC
8,in,O
8,Portsmouth,B-GPE
8,",",I-GPE
8,Virginia,I-GPE
8,",",I-GPE
8,United,I-GPE
8,States,I-GPE
8,",",O
8,photographed,O
8,by,O
8,John,B-PER
8,Vachon,I-PER
8,in,O
8,March,O
8,1941,O
8,.,O
9,Credit:,O
9,@/sebcolorisation,B-PER
9,on,O
9,Instagram,B-ORG
9,https://t.co/KfEjyDTQjX,O
9,#history,O
9,#usa,B-GPE
9,#unitedstates,B-GPE
9,https://t.co/rouxAxe4BK,O
10,https://t.co/QZ8YEl68qS,O
10,Interested,O
10,in,O
10,Hockey,O
10,and,O
10,How,O
10,It,O
10,All,O
10,Started,O
10,?,O
11,We're,O
11,your,O
11,place,O
11,.,O
12,Not,O
12,interested,O
12,?,O
13,Not,O
13,to,O
13,worry,O
13,we're,O
13,just,O
13,getting,O
13,started,O
13,on,O
13,new,O
13,topics,O
13,and,O
13,new,O
13,stories,O
13,.,O
14,Come,O
14,check,O
14,us,O
14,out,O
14,and,O
14,join,O
14,the,B-ORG
14,community,I-ORG
14,\xf0\x9f\x98\x81,O
14,#HockeyTwitter,O
14,#History,O
14,#ShamelessSelfPromoSaturday,O
14,#blog,O
15,@HertzCompresor,B-PER
15,is,O
15,amazing,O
15,!,O
16,With,O
16,multiple,O
16,tanks,O
16,set,O
16,up,O
16,throughout,O
16,the,B-FAC
16,shop,I-FAC
16,",",O
16,we,O
16,use,O
16,them,O
16,every,O
16,day,O
16,to,O
16,make,O
16,our,O
16,projects,O
16,run,O
16,smoothly,O
16,!,O
16,#countskustoms,O
16,#countingcars,O
16,#lasvegas,B-GPE
16,#history,O
16,#hertz,O
16,https://t.co/aPwucn4sh8,O
17,@BBCWorld,B-ORG
17,Northern,B-GPE
17,Ireland,I-GPE
17,is,O
17,on,O
17,a,O
17,sticky,O
17,wicket,O
17,post,O
17,Brexit,O
17,#History,O
17,#UnitedKingdom,B-GPE
17,https://t.co/0BHFOONrjJ,O
18,The,O
18,Bay,B-LOC
18,Of,I-LOC
18,Pigs,I-LOC
18,Invasion,O
18,#history,O
18,#shorts,O
18,https://t.co/YTKMbXa5MJ,O
18,via,O
18,@YouTube,B-ORG
19,Per,O
19,@AKurmanaev,B-PER
19,@nytimesworld,B-ORG
19,piece,O
19,",",O
19,Caribbean,B-PER
19,leaders,I-PER
19,are,O
19,calling,O
19,#Haiti,B-GPE
19,a,O
19,failed,O
19,state,O
19,and,O
19,the,O
19,crisis,O
19,there,O
19,a,O
19,low-intensity,O
19,civil,O
19,war,O
19,Eminent,O
19,#Hatian,O
19,#historian,O
19,",",O
19,Dr.,B-PER
19,Fatton,I-PER
19,",",O
19,explained,O
19,Haiti\'s,B-GPE
19,#History,O
19,in,O
19,this,O
19,podcast:,O
19,https://t.co/WjqAl6or1X,O
19,https://t.co/8bXnxBoYvs,O
20,contact,O
20,us,O
20,for:-,O
20,#Online,O
20,classes,O
20,#Presentations,O
20,#Essay,O
20,due,O
20,#Research,O
20,#Javascript,O
20,#Case,O
20,study,O
20,#Python,O
20,#Homework,O
20,#Biology,O
20,#History,O
20,#Calculus,O
20,#Economics,O
20,#Econometrics,O
20,#Maths,O
20,#Chemistry,O
20,#Assignments,O
20,#Programming,O
20,evephiliph20@gmail.com,O
20,+1(360),O
20,548-6038,O
20,DM,O
20,@prof_cecil,B-PER
21,as,O
21,caption,O
21,1924-1944,O
21,By,O
21,Unknown,O
21,#\xe4\xb8\xad\xe5\x9b\xbd\xe5\x8e\x86\xe5\x8f\xb2,O
21,#History,O
21,#photograph,O
21,https://t.co/gq3MJN61p9,O
22,\xf0\x9f\x91\x89,O
22,\xf0\x9f\x91\x88,O
22,The,O
22,History,O
22,of,O
22,Whoo,O
22,Cheongidan,O
22,Hwahyun,O
22,Cream,O
22,Premium,O
22,Radiant,O
22,Regenerating,O
22,Cream,O
22,Longlasting,O
22,@buy1_best,B-PER
22,#The,O
22,#History,O
22,#of,O
22,#Whoo,O
22,#Cheongidan,O
22,#Hwahyun,O
22,#Cream,O
22,#Premium,O
22,#fashion,O
22,#lifestyle,O
22,Are,O
22,you,O
22,ready,O
22,to,O
22,be,O
22,#pretty,O
22,?,O
22,!,O
22,https://t.co/21d6N6lJLp,O
23,#Armenia's,B-GPE
23,entire,O
23,history,O
23,is,O
23,one,O
23,of,O
23,atrocities,O
23,against,O
23,other,O
23,nations,O
23,.,O
24,And,O
24,all,O
24,Armenian,B-ORG
24,terrorist,I-ORG
24,organizations,I-ORG
24,such,O
24,as,O
24,Dashnaktsutyun,B-ORG
24,and,O
24,ASALA,B-ORG
24,are,O
24,recognized,O
24,as,O
24,terrorist,O
24,by,O
24,the,O
